candidate_id,period,n_days_strategy,annualised_return_strategy,sharpe_ratio_strategy,n_days_equal,annualised_return_equal,sharpe_ratio_equal,beats_equal_sharpe,beats_equal_return
B,2019-12-31,251,0.4110495822196094,4.21929178276905,251,0.2509119122938428,3.022527510437228,True,True
B,2020-12-31,253,0.43954719905254236,1.7435855556565356,253,0.1668921229007989,0.671372457797083,True,True
B,2021-12-31,252,0.32433686111269355,2.844207916771857,252,0.16917672793462946,1.6084179171803137,True,True
B,2022-12-31,251,-0.046138477191452476,-0.25816984593356646,251,-0.15327383413839002,-0.8684827169949533,True,True
B,2023-12-31,250,0.2349847737892563,2.0526684102280046,250,0.16246720622921984,1.4826172297088713,True,True
B,2024-12-31,252,0.25729114876670534,2.439454524304612,252,0.11391965881542054,1.1230302202541746,True,True
B,2025-12-31,250,0.276984715834256,2.105430376528648,250,0.21111452220846627,1.5990507780916683,True,True
D,2019-12-31,251,0.3583894649177366,3.707870827918781,251,0.2509119122938428,3.022527510437228,True,True
D,2020-12-31,253,0.29756434367794116,1.1572917714289075,253,0.1668921229007989,0.671372457797083,True,True
D,2021-12-31,252,0.25305780437167935,2.2280683016220486,252,0.16917672793462946,1.6084179171803137,True,True
D,2022-12-31,251,-0.10547608123317387,-0.5966180764879825,251,-0.15327383413839002,-0.8684827169949533,True,True
D,2023-12-31,250,0.18951926749499082,1.72492275387511,250,0.16246720622921984,1.4826172297088713,True,True
D,2024-12-31,252,0.17758938810822955,1.729398410255652,252,0.11391965881542054,1.1230302202541746,True,True
D,2025-12-31,250,0.24651986676308701,1.8686968016233012,250,0.21111452220846627,1.5990507780916683,True,True
A,2019-12-31,251,0.451331553481489,4.492575755205568,251,0.2509119122938428,3.022527510437228,True,True
A,2020-12-31,253,0.49104709366490473,1.7839912968695912,253,0.1668921229007989,0.671372457797083,True,True
A,2021-12-31,252,0.38325001527337,3.202768455168073,252,0.16917672793462946,1.6084179171803137,True,True
A,2022-12-31,251,-0.0012455301285195786,-0.0068839730743837394,251,-0.15327383413839002,-0.8684827169949533,True,True
A,2023-12-31,250,0.3240010458025435,2.703625455565291,250,0.16246720622921984,1.4826172297088713,True,True
A,2024-12-31,252,0.3470350943992839,3.056822921346156,252,0.11391965881542054,1.1230302202541746,True,True
A,2025-12-31,250,0.29402713404469893,2.121704008028721,250,0.21111452220846627,1.5990507780916683,True,True
C,2019-12-31,251,0.3394773352648641,3.557330079215005,251,0.2509119122938428,3.022527510437228,True,True
C,2020-12-31,253,0.2773586602607927,1.084239993852337,253,0.1668921229007989,0.671372457797083,True,True
C,2021-12-31,252,0.24891166605030723,2.202152734096112,252,0.16917672793462946,1.6084179171803137,True,True
C,2022-12-31,251,-0.1056494880880623,-0.6056459299258201,251,-0.15327383413839002,-0.8684827169949533,True,True
C,2023-12-31,250,0.20516740377187848,1.851644477069266,250,0.16246720622921984,1.4826172297088713,True,True
C,2024-12-31,252,0.17734486162584195,1.717686364140199,252,0.11391965881542054,1.1230302202541746,True,True
C,2025-12-31,250,0.2404704748539952,1.815614778330676,250,0.21111452220846627,1.5990507780916683,True,True
E,2019-12-31,251,0.39958906153526663,4.256817721048658,251,0.2509119122938428,3.022527510437228,True,True
E,2020-12-31,253,0.4698104203124289,2.015688064174829,253,0.1668921229007989,0.671372457797083,True,True
E,2021-12-31,252,0.32510501079573983,2.9625200268984226,252,0.16917672793462946,1.6084179171803137,True,True
E,2022-12-31,251,-0.04582042546765086,-0.26702708428152994,251,-0.15327383413839002,-0.8684827169949533,True,True
E,2023-12-31,250,0.2245088203919241,2.0447322272716404,250,0.16246720622921984,1.4826172297088713,True,True
E,2024-12-31,252,0.25179076456099936,2.436049081457267,252,0.11391965881542054,1.1230302202541746,True,True
E,2025-12-31,250,0.25221109672877406,2.0773188947588563,250,0.21111452220846627,1.5990507780916683,True,True
F,2019-12-31,251,0.2940912446681774,2.8739711386923417,251,0.2509119122938428,3.022527510437228,False,True
F,2020-12-31,253,0.19267784764656493,0.7014476233513448,253,0.1668921229007989,0.671372457797083,True,True
F,2021-12-31,252,0.198071825976184,1.7294107916800603,252,0.16917672793462946,1.6084179171803137,True,True
F,2022-12-31,251,-0.13699771269950733,-0.7401378885486156,251,-0.15327383413839002,-0.8684827169949533,True,True
F,2023-12-31,250,0.1832393989257486,1.626892348135609,250,0.16246720622921984,1.4826172297088713,True,True
F,2024-12-31,252,0.15055598156977434,1.4486511144567675,252,0.11391965881542054,1.1230302202541746,True,True
F,2025-12-31,250,0.21461908875242464,1.4656637691333074,250,0.21111452220846627,1.5990507780916683,False,True
G,2019-12-31,251,0.3583894649177366,3.707870827918781,251,0.2509119122938428,3.022527510437228,True,True
G,2020-12-31,253,0.2894895880396968,1.134919941719634,253,0.1668921229007989,0.671372457797083,True,True
G,2021-12-31,252,0.2530551634628557,2.22808502201021,252,0.16917672793462946,1.6084179171803137,True,True
G,2022-12-31,251,-0.11015744633562807,-0.6254021713112387,251,-0.15327383413839002,-0.8684827169949533,True,True
G,2023-12-31,250,0.18897934070253597,1.7224626250326591,250,0.16246720622921984,1.4826172297088713,True,True
G,2024-12-31,252,0.17758962394355904,1.7294013298196313,252,0.11391965881542054,1.1230302202541746,True,True
G,2025-12-31,250,0.24651986682362192,1.8686968022398314,250,0.21111452220846627,1.5990507780916683,True,True
