portfolio_method,total_return,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,avg_turnover,n_days,transaction_cost_bps,risk_control,top_k,max_weight
top_k_equal,0.25557976071012045,0.03873987284042357,0.18627483559207325,0.2079715851971586,-0.3893190746208899,0.3386394557823129,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
mean_variance,0.16694004830270637,0.02611721477887441,0.12333200997429754,0.21176347311875685,-0.30939450639477273,0.39820834305649466,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
top_k_equal,0.25557976071012045,0.03873987284042357,0.18627483559207325,0.2079715851971586,-0.3893190746208899,0.3386394557823129,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
mean_variance,0.24667570168732755,0.03750606290691816,0.12823326873819013,0.2924830917590748,-0.29774744398955344,0.3390833832297171,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
top_k_equal,0.25557976071011934,0.03873987284042357,0.18627483559207325,0.2079715851971586,-0.3893190746208899,0.3386394557823129,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
score_weighted,0.48484721634746886,0.06824412774084565,0.16946233685381734,0.4027097053412808,-0.32787435117844443,0.18012876579206977,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
mean_variance,0.3620067987740394,0.05294981408618704,0.13499382590018633,0.39223878375991683,-0.25851127615410907,0.23562640860968434,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
top_k_equal,0.44118610172843686,0.06293310992712509,0.17718697926426225,0.35517908927870295,-0.3455415255411173,0.20534499514091353,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
mean_variance,0.16694004830270637,0.02611721477887441,0.12333200997429754,0.21176347311875685,-0.30939450639477273,0.39820834305649466,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
top_k_equal,0.44118610172843686,0.06293310992712509,0.17718697926426225,0.35517908927870295,-0.3455415255411173,0.20534499514091353,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
mean_variance,0.24667570168732755,0.03750606290691816,0.12823326873819013,0.2924830917590748,-0.29774744398955344,0.3390833832297171,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
top_k_equal,0.44118610172843686,0.06293310992712509,0.17718697926426225,0.35517908927870295,-0.3455415255411173,0.20534499514091353,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
score_weighted,0.48484721634746886,0.06824412774084565,0.16946233685381734,0.4027097053412808,-0.32787435117844443,0.18012876579206977,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
mean_variance,0.3620067987740394,0.05294981408618704,0.13499382590018633,0.39223878375991683,-0.25851127615410907,0.23562640860968434,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
top_k_equal,0.8696623056409425,0.11015574184278676,0.1490979045418799,0.7388148222555687,-0.26760838719266244,0.0006802721088435374,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
mean_variance,0.16694004830270637,0.02611721477887441,0.12333200997429754,0.21176347311875685,-0.30939450639477273,0.39820834305649466,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
top_k_equal,0.8696623056409425,0.11015574184278676,0.1490979045418799,0.7388148222555687,-0.26760838719266244,0.0006802721088435374,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
score_weighted,0.43347751745597995,0.06198153849507437,0.17121708988214152,0.3620055599457963,-0.33102165101704184,0.20993197278911566,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
mean_variance,0.24667570168732755,0.03750606290691816,0.12823326873819013,0.2924830917590748,-0.29774744398955344,0.3390833832297171,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
