candidate_id,priority,rationale,model_name,model_params,portfolio_method,total_return,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,avg_turnover,n_days,transaction_cost_bps,top_k,max_weight,rebalance_every,score_ema_span,risk_control,n_rebalances,ew_annualised_return,ew_sharpe_ratio,ew_max_drawdown,ew_avg_turnover,return_edge,sharpe_edge,drawdown_gap,window_win_rate,bootstrap_observed_diff,bootstrap_p_value,decision,failures,selection_rank_ic,selection_precision_at_3,n_folds
B,1,First try: simpler diversified top-7 equal weight to cut turnover/concentration while retaining ranking signal.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",top_k_equal,4.070850317928239,0.26186281588149174,0.15105575034692237,1.7335507935320846,-0.23751966295867222,0.5557491289198606,1759,5.0,7,0.2,21,,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.0, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.13788829808820235,0.8888603773279934,0.030088724233990227,1.0,0.7458071211021798,0.486,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
D,2,Second try: top-7 with sticky holdings and tighter 15% cap for lower churn and concentration.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",top_k_equal,2.439824469141667,0.19361952453312004,0.15111244586453768,1.281294359477757,-0.2572698829686598,0.27912930532639385,1759,5.0,7,0.15,21,,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.5, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.06964500673983065,0.4366039432736658,0.01033850422400262,1.0,0.3772099203880138,0.5,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
A,3,Active top-5 equal weight with practical 21-day rebalancing; tests whether concentration can beat EqualWeight after costs.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",top_k_equal,5.871015158464628,0.31799665608204286,0.16015873220178317,1.9855093238462982,-0.2596449922565809,0.9048780487804877,1759,5.0,5,0.25,21,,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.0, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.19402213828875348,1.140818907642207,0.007963394936081558,1.0,0.9348920600820122,0.51,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
C,4,Score-weighted with 50% sticky blend to attack the prior failure mode of excessive turnover.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",score_weighted,2.3538977750821775,0.18930147771646055,0.1504370654276032,1.2583433290086383,-0.26024753843161375,0.23523674890868307,1759,5.0,5,0.25,21,,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.5, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.06532695992317117,0.4136529128045471,0.0073608487610486995,1.0,0.35807465526013493,0.51,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
E,5,Volatility-scaled top-7 to reduce risk contribution churn.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",top_k_equal,3.9774322163982125,0.25850582451800785,0.1425986239465534,1.8128213117603225,-0.22757363328687374,0.6121000679543178,1759,5.0,7,0.2,21,,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.0, ""turnover_penalty"": 0.0, ""volatility_scaled"": true}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.13453130672471847,0.9681308955562312,0.0400347539057887,1.0,0.8142110958992511,0.46,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
F,6,Score EMA smoothing plus strong sticky blend for signal stabilisation and turnover control.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",score_weighted,1.6318825879600767,0.14870558512097065,0.15963318619798755,0.9315455555496852,-0.2903282074815233,0.13302403342452038,1759,5.0,5,0.2,21,3.0,"{""drawdown_exposure"": 1.0, ""drawdown_threshold"": null, ""sticky_fraction"": 0.7, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.024731067327681266,0.08685513934559397,-0.02271982028886088,0.7142857142857143,0.07867757023016819,0.519,keep_for_further_internal_validation,drawdown_within_tolerance|turnover_acceptable,0.13660648294794633,0.3451413085559427,82
G,7,Drawdown-aware exposure reduction layered on sticky top-7; only useful if base signal already has economic content.,gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",top_k_equal,2.398977423720496,0.19157851596062048,0.15049266843503487,1.2730089641763624,-0.2572698829686598,0.27645676030154087,1759,5.0,7,0.2,21,,"{""drawdown_exposure"": 0.7, ""drawdown_threshold"": -0.1, ""sticky_fraction"": 0.5, ""turnover_penalty"": 0.0, ""volatility_scaled"": false}",82,0.12397451779328938,0.8446904162040912,-0.26760838719266244,0.012195121951219513,0.06760399816733109,0.4283185479722712,0.01033850422400262,1.0,0.3703581963341559,0.512,keep_for_further_internal_validation,turnover_acceptable,0.13660648294794633,0.3451413085559427,82
