symbol,score,weight
DBC,0.49184864165224773,0.0
DIA,0.5809716894839302,0.0
EEM,0.7649839630240219,0.2
EFA,0.5599428199335109,0.0
GLD,0.5967165544878248,0.2
IWM,0.5389126725002785,0.0
QQQ,0.6737003330656562,0.2
SPY,0.6190961077428636,0.2
TLT,0.631619974890745,0.2
VNQ,0.5461093077729906,0.0
