candidate_id,period,n_days_strategy,annualised_return_strategy,sharpe_ratio_strategy,n_days_equal,annualised_return_equal,sharpe_ratio_equal,beats_equal_sharpe,beats_equal_return
H,2019-12-31,251,0.30428843788937465,3.0957470086155676,251,0.2509119122938428,3.022527510437228,True,True
H,2020-12-31,253,0.21914475601420547,0.7715579217237722,253,0.1668921229007989,0.671372457797083,True,True
H,2021-12-31,252,0.25820038203370976,2.247189908511388,252,0.16917672793462946,1.6084179171803137,True,True
H,2022-12-31,251,-0.10528478043399614,-0.6075485340437923,251,-0.15327383413839002,-0.8684827169949533,True,True
H,2023-12-31,250,0.1851052283441601,1.6779587918108791,250,0.16246720622921984,1.4826172297088713,True,True
H,2024-12-31,252,0.17878791845034847,1.6842424140649823,252,0.11391965881542054,1.1230302202541746,True,True
H,2025-12-31,250,0.2607325580568234,2.047655593565214,250,0.21111452220846627,1.5990507780916683,True,True
I,2019-12-31,251,0.32877557833607174,3.002581505810249,251,0.2509119122938428,3.022527510437228,False,True
I,2020-12-31,253,0.1954302599866662,0.6503057379810626,253,0.1668921229007989,0.671372457797083,False,True
I,2021-12-31,252,0.19533121119222874,1.688171918222892,252,0.16917672793462946,1.6084179171803137,True,True
I,2022-12-31,251,-0.16360003727988015,-0.906905402173246,251,-0.15327383413839002,-0.8684827169949533,False,False
I,2023-12-31,250,0.18869898202824054,1.6495236458757918,250,0.16246720622921984,1.4826172297088713,True,True
I,2024-12-31,252,0.1449333557548489,1.3819106922901563,252,0.11391965881542054,1.1230302202541746,True,True
I,2025-12-31,250,0.21874320241935408,1.500840689593515,250,0.21111452220846627,1.5990507780916683,False,True
J,2019-12-31,251,0.31519742296915165,2.6545011173254154,251,0.2509119122938428,3.022527510437228,False,True
J,2020-12-31,253,0.19356041064033147,0.5882970662034376,253,0.1668921229007989,0.671372457797083,False,True
J,2021-12-31,252,0.22131820088249232,1.7414273910012237,252,0.16917672793462946,1.6084179171803137,True,True
J,2022-12-31,251,-0.17842569651265827,-0.8738982542761417,251,-0.15327383413839002,-0.8684827169949533,False,False
J,2023-12-31,250,0.20445016354814172,1.6470419815633879,250,0.16246720622921984,1.4826172297088713,True,True
J,2024-12-31,252,0.14137580522109472,1.304332397860548,252,0.11391965881542054,1.1230302202541746,True,True
J,2025-12-31,250,0.21481943440339868,1.4920667277817794,250,0.21111452220846627,1.5990507780916683,False,True
K,2019-12-31,251,0.28560662467232634,2.6797178701333215,251,0.2509119122938428,3.022527510437228,False,True
K,2020-12-31,253,0.1675694501529188,0.5290970509634373,253,0.1668921229007989,0.671372457797083,False,True
K,2021-12-31,252,0.20461897043865207,1.5941048916013192,252,0.16917672793462946,1.6084179171803137,False,True
K,2022-12-31,251,-0.18665422421954525,-0.867646485611643,251,-0.15327383413839002,-0.8684827169949533,True,False
K,2023-12-31,250,0.1979023376028255,1.4944926722788425,250,0.16246720622921984,1.4826172297088713,True,True
K,2024-12-31,252,0.12957355007546023,1.0802447553921475,252,0.11391965881542054,1.1230302202541746,False,True
K,2025-12-31,250,0.18790907219118447,1.175702867164617,250,0.21111452220846627,1.5990507780916683,False,False
L,2019-12-31,251,0.2137740921612632,3.274335611514893,251,0.2509119122938428,3.022527510437228,True,False
L,2020-12-31,253,0.1590122234322109,0.7990970390354426,253,0.1668921229007989,0.671372457797083,True,False
L,2021-12-31,252,0.13123301031169876,1.3896629077453144,252,0.16917672793462946,1.6084179171803137,False,False
L,2022-12-31,251,-0.15492245855802778,-1.0032241188515714,251,-0.15327383413839002,-0.8684827169949533,False,False
L,2023-12-31,250,0.12253244320586254,1.124691339028166,250,0.16246720622921984,1.4826172297088713,False,False
L,2024-12-31,252,0.09489881525662991,0.9409412541193208,252,0.11391965881542054,1.1230302202541746,False,False
L,2025-12-31,250,0.20676967165517213,1.7617320823954155,250,0.21111452220846627,1.5990507780916683,True,False
M,2019-12-31,251,0.2509119122938428,3.022527510437228,251,0.2509119122938428,3.022527510437228,False,False
M,2020-12-31,253,0.1668921229007989,0.671372457797083,253,0.1668921229007989,0.671372457797083,False,False
M,2021-12-31,252,0.16917672793462946,1.6084179171803137,252,0.16917672793462946,1.6084179171803137,False,False
M,2022-12-31,251,-0.15327383413839002,-0.8684827169949533,251,-0.15327383413839002,-0.8684827169949533,False,False
M,2023-12-31,250,0.16246720622921984,1.4826172297088713,250,0.16246720622921984,1.4826172297088713,False,False
M,2024-12-31,252,0.11391965881542054,1.1230302202541746,252,0.11391965881542054,1.1230302202541746,False,False
M,2025-12-31,250,0.21111452220846627,1.5990507780916683,250,0.21111452220846627,1.5990507780916683,False,False
N,2019-12-31,251,0.3183805198713352,2.7434382328309206,251,0.2509119122938428,3.022527510437228,False,True
N,2020-12-31,253,0.18217667386716907,0.5557759675032562,253,0.1668921229007989,0.671372457797083,False,True
N,2021-12-31,252,0.21327406498256485,1.678738445852007,252,0.16917672793462946,1.6084179171803137,True,True
N,2022-12-31,251,-0.17231103677365256,-0.7972451692303149,251,-0.15327383413839002,-0.8684827169949533,True,False
N,2023-12-31,250,0.21247780062542398,1.6543758412273084,250,0.16246720622921984,1.4826172297088713,True,True
N,2024-12-31,252,0.15872315193029451,1.3592688995372693,252,0.11391965881542054,1.1230302202541746,True,True
N,2025-12-31,250,0.19993319108819207,1.2019776621038807,250,0.21111452220846627,1.5990507780916683,False,False
