model,rank_ic,rank_ic_std,precision_at_3,n_folds_or_dates,sharpe,return,volatility,max_drawdown,turnover
plain,-0.1389315498307324,0.38506048166392537,0.24613987284287012,367,0.5998144453009774,0.08358767131474076,0.1393558824226012,-0.15964531100342172,0.19507966260543583
regime_aware,-0.060985880604409216,0.3915106655017131,0.28337874659400547,367,0.7423917207993093,0.10553685095478138,0.14215790397171085,-0.14976590969354797,0.2285379568884724
