Slice,Start,End,N_Days,Total_Return,Annualised_Return,Annualised_Volatility,Sharpe_Ratio,Max_Drawdown
Year_2018,2018-01-01,2018-12-31,251,0.0,0.0,0.0,0.0,0.0
Year_2019,2019-01-01,2019-12-31,252,0.19522711318824104,0.19522711318824104,0.06316606691982808,3.0906960446979874,-0.032039658919000846
Year_2020,2020-01-01,2020-12-31,253,0.09273674561053591,0.09235377039070358,0.14230756300142117,0.6489730302653084,-0.184954773600693
Year_2021,2021-01-01,2021-12-31,252,0.08092663488453078,0.08092663488453078,0.08137823855566792,0.9944505597669306,-0.06660981542781719
Year_2022,2022-01-01,2022-12-31,251,-0.1376522305075798,-0.13816088844517438,0.1298299108121139,-1.0641683998775662,-0.2012509414531194
Year_2023,2023-01-01,2023-12-31,250,0.07149983925827041,0.07209197978191773,0.09553240466979296,0.7546337813970361,-0.09257203478197196
Year_2024,2024-01-01,2024-12-31,252,0.09838159243114397,0.09838159243114397,0.08797235740649782,1.1183239296015193,-0.051238321903311124
Year_2025,2025-01-01,2025-12-31,250,0.13515822958122792,0.1363100642558812,0.09763974711084153,1.396050976055282,-0.09438673569019462
Year_2026,2026-01-01,2026-12-31,120,0.10535151393194697,0.2341014479131147,0.08901667557596671,2.6298606008189203,-0.04355045295386328
COVID_Crash,2020-02-01,2020-04-30,62,-0.051851706784297735,-0.19459704869061556,0.2467590635374941,-0.7886115545297783,-0.18495477360069323
COVID_Recovery,2020-05-01,2020-12-31,170,0.1369926549985434,0.20962994654573186,0.08837058724264109,2.3721687621034615,-0.06502973132411083
Bear_2022,2022-01-01,2022-10-31,209,-0.1930209160667674,-0.22785302913797167,0.12526416604938617,-1.81898013074337,-0.2012509414531194
Bull_2019,2019-01-01,2019-12-31,252,0.19522711318824104,0.19522711318824104,0.06316606691982808,3.0906960446979874,-0.032039658919000846
Bull_Late_2023,2023-11-01,2023-12-31,41,0.08982308401373196,0.6966909679829989,0.0962960529826103,7.2348860249631555,-0.013954116629039115
