run_id,timestamp,experiment_type,strategy_name,model_name,feature_set,target_type,portfolio_method,rebalance_frequency,lookback_window,transaction_cost_bps,train_start,train_end,test_start,test_end,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,turnover,hit_rate,rank_ic,spearman_ic,precision_at_k,top_k_hit_rate,rmse,mae,r2,notes,validation_warnings
7467beb8-3dfb-47a7-b652-ce300219d3a4,2026-07-11T14:16:16.668006+00:00,ml_ranking,,ridge,v2,cs_rank_21d,,63,252,,,,,,,,,,,,,,0.0356902356902356,0.0356902356902356,0.2576172231344645,,,,,"walk-forward 29 folds, P@3=0.2576",
7c565ee1-c2ce-4335-9bbe-0871c65132e2,2026-07-11T14:16:36.311686+00:00,two_stage_portfolio,ML_ridge_top_k_equal,ridge,v2,cs_rank_21d,top_k_equal,21,252,5.0,,,,,0.1515234615204725,0.1761661148303366,0.8601169507904678,,-0.3302612813478154,,0.5730337078651687,,,,,,,,,"top_k=5, max_weight=0.25",
70f0853c-8b24-46d5-9e51-292822d5e9b9,2026-07-11T14:27:56.333215+00:00,ml_ranking,,gradient_boost,v2,cs_rank_21d,,21,252,,,,,,,,,,,,,,0.0907637162793991,0.0907637162793991,0.3146780809702157,,,,,"walk-forward 89 folds, P@3=0.3147",
01efde52-bf92-4f75-bc91-7dea2a550064,2026-07-11T15:01:31.714371+00:00,ml_ranking,,ridge,v2,cs_rank_21d,,21,252,,,,,,,,,,,,,,0.0558892293723754,0.0558892293723754,0.2640984483681112,,,,,"walk-forward 89 folds, P@3=0.2641",
2f5d73a1-a8de-4140-8789-97494bbe9465,2026-07-11T15:03:49.641178+00:00,two_stage_portfolio,ML_ridge_top_k_equal,ridge,v2,cs_rank_21d,top_k_equal,21,252,5.0,,,,,0.1515234615204725,0.1761661148303366,0.8601169507904678,,-0.3302612813478154,,0.5730337078651687,,,,,,,,,"top_k=5, max_weight=0.25",
bb67ce0c-eaae-4d53-8f73-9555884318c2,2026-07-14T11:45:34.363678+00:00,two_stage_portfolio,ML_ridge_top_k_equal,ridge,v2,cs_rank_21d,top_k_equal,21,252,5.0,,,,,0.1515234615204725,0.1761661148303366,0.8601169507904678,,-0.3302612813478154,,0.5730337078651687,,,,,,,,,"top_k=5, max_weight=0.25",
bb970853-5f24-4b4e-be27-47c111f688b7,2026-07-14T11:45:52.773924+00:00,two_stage_portfolio,ML_ridge_score_weighted,ridge,v2,cs_rank_21d,score_weighted,21,252,5.0,,,,,0.1410401669000969,0.1609996113719528,0.87602799595743,,-0.3138684252356876,,0.3474974463738509,,,,,,,,,"top_k=5, max_weight=0.3",
16e0b0f5-a149-4932-a490-cfe341a49b7b,2026-07-14T12:32:32.925180+00:00,ml_ranking,,gradient_boost,v2,cs_rank_21d,,21,252,,,,,,,,,,,,,,0.0907637162793991,0.0907637162793991,0.3146780809702157,,,,,"walk-forward 89 folds, P@3=0.3147",
fa550d97-8065-43e2-8665-5c9c053b1eb7,2026-07-14T12:36:17.251389+00:00,ml_ranking,,random_forest,v2,cs_rank_21d,,21,252,,,,,,,,,,,,,,0.0586902419427183,0.0586902419427183,0.2995184590690208,,,,,"walk-forward 89 folds, P@3=0.2995",
db943c1c-53f1-404d-8986-dc70295d850b,2026-07-14T12:49:28.478600+00:00,two_stage_portfolio,ML_gradient_boost_top_k_equal,gradient_boost,v2,cs_rank_21d,top_k_equal,21,252,5.0,,,,,0.2267665971654235,0.158153033002885,1.433842860043581,,-0.2592497954935655,,0.7842696629213483,,,,,,,,,"top_k=5, max_weight=0.25",
