Strategy,Annualised Return,Annualised Volatility,Sharpe Ratio,Max Drawdown,Avg Turnover,Total Return
EqualWeight,0.11493205191386369,0.1372323659069005,0.8374996026216912,-0.2676084482808194,0.011235955056179775,1.5092791359639546
RiskParity,0.10358310458405517,0.13247183699981446,0.7819254788789579,-0.2676084482808194,0.03045713018455525,1.3013061138883861
MinVariance,0.07182755200743784,0.09590029400130881,0.7489815621050919,-0.21007572504454897,0.12466748491589924,0.7978225155697982
